ETid,Country,Date,Fine,Fine_cleaned,Controller,Quoted_Art,Type,Source,year
ETid-1185,ITALY,2022-04-07,"50,000",50000,Palumbo Superyacht Ancona s.r.l.,"Art. 5 (1) a), e) GDPR, Art. 13 GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 157 Codice della privacy, Art. 166 (2) Codice della privacy",Insufficient legal basis for data processing,link link,2022
ETid-956,SPAIN,2021-12-14,"50,000",50000,"IZA OBRAS Y PROMOCIONES, S.A.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2021
ETid-754,SPAIN,2021-07-08,"50,000",50000,Caixabank S.A.,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,link,2021
ETid-717,SWEDEN,2021-06-07,"50,000",50000,Region Stockholm,"Art. 5 (1) a) GDPR, Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link,2021
ETid-592,SPAIN,2021-03-10,"50,000",50000,Equifax Iberica S.L.,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,link,2021
ETid-560,ITALY,2021-01-27,"50,000",50000,Azienda Ospedaliero Universitaria Senese,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link,2021
ETid-559,ITALY,2021-01-27,"50,000",50000,Azienda USL della Romagna,"Art. 5 (1) a), d), f) GDPR, Art. 9 GDPR, Art. 32 (1) b) GDPR",Non-compliance with general data processing principles,link,2021
ETid-537,BELGIUM,2021-01-27,"50,000",50000,Family Service / N.D.P.K. nv.,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR",Insufficient legal basis for data processing,link,2021
ETid-529,SPAIN,2021-01-21,"50,000",50000,Alterna Operador Integral S.L.,Art. 6 (1) b) GDPR,Insufficient legal basis for data processing,link,2021
ETid-499,BELGIUM,2020-12-23,"50,000",50000,Unknown,"Art. 14 (1), (2) GDPR, Art. 12 (1), (2), (3) GDPR, Art. 15 (1) GDPR, Art. 5 (1) c), (2) GDPR, Art. 24 (1), (2) GDPR",Insufficient fulfilment of data subjects rights,link,2020
ETid-443,SPAIN,2020-10-26,"50,000",50000,Conseguridad SL,Art. 37 GDPR,Insufficient involvement of data protection officer,link,2020
ETid-418,SPAIN,2020-10-09,"50,000",50000,"Centro de Investigación y Estudio para la Obesidad, SL","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-385,SPAIN,2020-08-28,"50,000",50000,Bankia S.A.,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link,2020
ETid-296,BELGIUM,2020-05-14,"50,000",50000,Social Media Provider,Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-272,BELGIUM,2020-04-28,"50,000",50000,Proximus SA,"Art. 31 GDPR, Art. 58 GDPR, Art. 37 GDPR",Insufficient involvement of data protection officer,link,2020
ETid-271,GERMANY,2019,"50,000",50000,Unknown Company,"Art. 15 GDPR, Art. 28 GDPR",Insufficient fulfilment of data subjects rights,link,2019
ETid-195,SPAIN,2020-02-03,"50,000",50000,"Vodafone España, S.A.U.",Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-154,THE NETHERLANDS,2019-10-31,"50,000",50000,Menzis (Health Insurance Company),Art. 5 GDPR,Non-compliance with general data processing principles,link,2019
ETid-109,SLOVAKIA,Unknown,"50,000",50000,Social Insurance Agency,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,Unkn
ETid-39,ITALY,2019-04-17,"50,000",50000,Italian political party Movimento 5 Stelle,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-32,GERMANY,2019-03,"50,000",50000,N26,Art. 6 GDPR,Insufficient legal basis for data processing,Page 131 of the activity report of the Data Protection Commissioner of Berlin link link,2019
ETid-1836,MALTA,2020,"5,000",5000,Unknown,"Art. 5 (1) f) GDPR, Art. 32 (1) b) GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-1833,BULGARIA,2022,"5,000",5000,Trucking company,Art. 6 GDPR,Insufficient legal basis for data processing,link,2022
ETid-1827,SPAIN,2023-05-09,"5,000",5000,"ESTUDIO INMOBILIARIO SAN ISIDRO, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2023
ETid-1807,ITALY,2023-03-02,"5,000",5000,Private individual,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 130 Codice della privacy",Insufficient legal basis for data processing,link,2023
ETid-1803,SPAIN,2023-05-03,"5,000",5000,"BANQUETES SANTA ANA, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1799,SPAIN,2023-04-28,"5,000",5000,INFINITY ECOM S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2023
ETid-1761,ITALY,2023-01-26,"5,000",5000,Misterbianco municipality,"Art. 5 GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing,link,2023
ETid-1755,ITALY,2023-01-11,"5,000",5000,Azienda Ospedale-Università Padova,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link,2023
ETid-1699,ROMANIA,2023-03-23,"5,000",5000,Tehnoplus Industry SRL,"Art. 5 (1) a), c), e) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR",Non-compliance with general data processing principles,link,2023
ETid-1693,ITALY,2023-01-26,"5,000",5000,Azienda ULSS n.5 Polesana,"Art. 5 (1) f) GDPR, Art. 9 GDPR, Art. 32 GPDR",Insufficient technical and organisational measures to ensure information security,link,2023
ETid-1689,SPAIN,2023-03-16,"5,000",5000,Private individual,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Non-compliance with general data processing principles,link,2023
ETid-1642,ROMANIA,2023-02-08,"5,000",5000,Medijobs Platform SRL,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2023
ETid-1634,ITALY,2022-12-15,"5,000",5000,Comune di Borgia,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 (2), (4) GDPR, Art. 37 (7) GDPR",Insufficient legal basis for data processing,link,2022
ETid-1624,CYPRUS,2022,"5,000",5000,Cypriot Ministry of Defense,"Art. 24 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1623,CYPRUS,2022,"5,000",5000,Cyprus Electricity Authority,"Art. 5 (1) f) GDPR, Art. 24 (1) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1619,CYPRUS,2022,"5,000",5000,DW Dynamic Works LIMITED,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1615,ITALY,2022-11-10,"5,000",5000,Cisterna di Latina municipality,"Art. 5 GDPR, Art. 12 GDPR, Art. 37 GDPR",Insufficient fulfilment of data subjects rights,link,2022
ETid-1613,ITALY,2022-10-20,"5,000",5000,Fondazione Teatro Regio di Torino,"Art. 5 (1) a), c) GDPR, Art. 6 (1) GDPR, Art. 2-septies (8) Codice della privacy",Insufficient legal basis for data processing,link,2022
ETid-1544,ITALY,2022-11-10,"5,000",5000,Cisterna di Latina Municipality,"Art. 5 GDPR, Art. 12 GDPR, Art. 37 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1531,ROMANIA,2022-12-15,"5,000",5000,Societatea Energetică Electrica S.A.,Art. 28 (3) a) GDPR,Insufficient data processing agreement,link,2022
ETid-1519,IRELAND,2022-01-26,"5,000",5000,Slane Credit Union Ltd.,"Art. 5 (1) f) GDPR, Art. 24 GDPR, Art. 28 (1), (3) GDPR, Art. 30 (1) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1518,SPAIN,2022-11-25,"5,000",5000,"Association for the prevention and study of crimes, abuses and negligence in information technology and advanced communications (APEDANICA)",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1484,SPAIN,2022-11-02,"5,000",5000,"CÍTRICOS TANTA, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1481,ROMANIA,2022-11-08,"5,000",5000,SC Prestige Media PHG SRL,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2022
ETid-1464,ITALY,2022-07-21,"5,000",5000,Ginosa municipality,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 28 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing,link,2022
ETid-1446,SPAIN,2022-10-19,"5,000",5000,"RESTEXPERIENCE, S.L.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1439,GREECE,2022-08-08,"5,000",5000,IDIKA SA,"Art. 5 (1) e) GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1437,GREECE,2022-09-06,"5,000",5000,EDYTE SA,Art. 29 GDPR,Insufficient legal basis for data processing,link,2022
ETid-1436,ROMANIA,2022-09-21,"5,000",5000,Curtea Veche Publishing SRL,"Art. 32 (1) b), c) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1408,GERMANY,2022-09-21,"5,000",5000,Surveyor,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1389,ITALY,2022-06-30,"5,000",5000,"Federazione Italiana Sommelier, Albergatori e Ristoratori","Art. 5 (1) a), f) GDPR, Art. 6 (1) GDPR",Non-compliance with general data processing principles,link,2022
ETid-1351,SPAIN,2022-08-16,"5,000",5000,"RODALI GESTIÓN INMOBILIARIA, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1300,GERMANY,2021,"5,000",5000,Private individual,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-1285,SPAIN,2022-07-19,"5,000",5000,Bar owner,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1273,CYPRUS,2022,"5,000",5000,Cyprus Judo Federation,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link link,2022
ETid-1180,ROMANIA,2022-05-24,"5,000",5000,MED LIFE S.A.,"Art. 32 (1) b), (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1170,ROMANIA,2022-05-18,"5,000",5000,Kredyt Inkaso Investments RO S.A,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 33 GDPR",Insufficient legal basis for data processing,link,2022
ETid-1152,SPAIN,2022-05-03,"5,000",5000,"MISTORE CANARIAS, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1137,GREECE,2022-04-04,"5,000",5000,Mayor,Art. 5 (1) a) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1122,ITALY,2022-02-10,"5,000",5000,Arte del vivere S.r.l.,"Art. 12 GDPR, Art. 17 GDPR, Art. 157 Codice della privacy",Insufficient fulfilment of data subjects rights,link,2022
ETid-1109,CYPRUS,2022-03-21,"5,000",5000,English School staff union (ESSA),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1088,FINLAND,2021-12-26,"5,000",5000,Medical clinic,"Art. 5 (1) a) GDPR, Art. 12 (1), (2), (3), (4) GDPR, Art. 13 (1), (2) GDPR, Art. 15 (1), (3) GDPR, Art. 25 GDPR",Insufficient fulfilment of information obligations,link,2021
ETid-1070,NORWAY,2022-02-01,"5,000",5000,Etterforsker1 Gruppen AS,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1031,GERMANY,2019-11,"5,000",5000,Restaurant,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2019
ETid-1021,SPAIN,2022-01-31,"5,000",5000,"INCOPROSOL, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1020,SPAIN,2022-01-31,"5,000",5000,Cyrana España General S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1010,ITALY,2021-12-02,"5,000",5000,Azienda USL di Parma,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link,2021
ETid-967,SPAIN,2021-12-22,"5,000",5000,HUBSIDE IBÉRICA S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-966,SPAIN,2021-12-22,"5,000",5000,Sfam España General s.l.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-933,SPAIN,2021-12-01,"5,000",5000,"INTRODUCTION BUSINESS CAPITAL MEDIA, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD",Insufficient fulfilment of data subjects rights,link,2021
ETid-926,SPAIN,2021-11-30,"5,000",5000,ASOCIACIÓN ESPAÑOLA PARA LA ENSEÑANZA ONLINE,"Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link,2021
ETid-924,SPAIN,2021-11-30,"5,000",5000,ASOCIACIÓN ESPAÑOLA PARA LA ENSEÑANZA ONLINE,"Art. 17 (1) GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,link,2021
ETid-897,GREECE,2021-10-04,"5,000",5000,PREMIUMMEDIA ΠΑΡΑΓΩΓΗ ΟΠΤΙΚΟ-ΑΚΟΥΣΤΙΚΩΝ ΕΡΓΩΝ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ,"Art. 21 (3) GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-892,ITALY,2021-09-16,"5,000",5000,Comune di Montalbano Jonico,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR, Art. 9 (1), (2), (4) GDPR, Art. 2-ter (1), (3) Codice della privacy, Art. 2-septies (8) Codice della privacy",Non-compliance with general data processing principles,link,2021
ETid-891,ROMANIA,2021-11-01,"5,000",5000,S.P.E.E.H. Hidroelectrica S.A.,"Art. 32 (1) b), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-880,ROMANIA,2021-10-21,"5,000",5000,Glove Technology SRL,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link,2021
ETid-874,ITALY,2021-09-16,"5,000",5000,Ciechi Ardizzone Gioeni di Catania,"Art. 5 (1) a), c) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link,2021
ETid-869,ITALY,2021-09-16,"5,000",5000,La Prima S.r.l.,"Art. 5 GDPR, Art. 6 GDPR, Art. 24 GDPR, Art. 25 GDPR",Insufficient legal basis for data processing,link,2021
ETid-864,SPAIN,2021-10-04,"5,000",5000,"CALDERERIA Y SOLDADURA DE ESTRUCTURAS METALICAS, S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link,2021
ETid-855,SPAIN,2021-09-29,"5,000",5000,"CYNGASA, S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link,2021
ETid-843,GREECE,2021-08-26,"5,000",5000,NOW DOCTOR – Εταιρία Παροχής Ηλεκτρονικών Υπηρεσιών Αναζήτησης και Προβολής Ιατρών Ε.Π.Ε.,"Art. 5 (1) a), e) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3) GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,link,2021
ETid-805,SPAIN,2021-08-09,"5,000",5000,CLUB GIMNASIA RÍTMICA SAN ANTONIO,Art. 6 GDPR,Insufficient legal basis for data processing,link,2021
ETid-767,GREECE,2021-07-08,"5,000",5000,Pediatrician,"Art. 12 (1) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-703,GREECE,2021-05-12,"5,000",5000,KARIERA A.E.,"Art. 17 GDPR, Art. 21 GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-683,ITALY,2021-04-15,"5,000",5000,Physician,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2021
ETid-680,GREECE,2021-05-12,"5,000",5000,A. ΕΠΙΛΟΓΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Art. 5 (1) a), b) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,link,2021
ETid-633,ROMANIA,2021-04-15,"5,000",5000,S.C. Tip Top Food Industry S.R.L,"Art. 5 (1) b), c) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,link,2021
ETid-615,ITALY,2021-02-11,"5,000",5000,Fondazione di religione e di culto “Casa sollievo della sofferenza” Opera di San Pio da Pietrelcina,"Art. 5 (1) a), f) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2021
ETid-597,SPAIN,2021-03-15,"5,000",5000,Certime S.A.,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link,2021
ETid-548,SPAIN,2021-02-09,"5,000",5000,Predase Servicios Integrales S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-547,SPAIN,2021-02-08,"5,000",5000,Private Person,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2021
ETid-465,SPAIN,2020-12-02,"5,000",5000,"Asociación de Víctimas por Arbitrariedades Judiciales, (JAVA)",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2020
ETid-453,ROMANIA,2020-11-24,"5,000",5000,Dada Creation S.R.L.,"Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-419,SPAIN,2020-10-09,"5,000",5000,Caja Rural San José de Nules S. Cooperativa de Crédito,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2020
ETid-403,BELGIUM,2020-09-07,"5,000",5000,Former mayor of a community,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-386,SPAIN,2020-08-28,"5,000",5000,Basketball Federation of Castilla and Leon,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-383,SPAIN,2020-08-17,"5,000",5000,Party of the Socialists of Catalonia,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,link,2020
ETid-375,ITALY,2020-08-04,"5,000",5000,National Institute for Social Security - Department of the Province of Brescia,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2020
ETid-360,ROMANIA,2020-07-27,"5,000",5000,SC Cntar Tarom SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-357,BELGIUM,2020-07-14,"5,000",5000,Operator of CCTV of a residential building,"Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,link,2020
ETid-356,SPAIN,2020-07-23,"5,000",5000,El Real Sporting de Gijón S.A.D.,"Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,link,2020
ETid-355,SPAIN,2020-07-23,"5,000",5000,Xfera Moviles S.A.,Art. 58 GDPR,Insufficient cooperation with supervisory authority,link,2020
ETid-348,GREECE,2020-06-29,"5,000",5000,New York College S.A.,Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-342,SPAIN,2020-07-10,"5,000",5000,School Fitness Holiday & Franchising S.L.,Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-341,SPAIN,2020-07-10,"5,000",5000,Global Business Travel Spain SLU,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-330,SPAIN,2020-07-02,"5,000",5000,Xfera Moviles S.A.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,link,2020
ETid-317,BELGIUM,2020-06-08,"5,000",5000,Municipal employee,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-285,SPAIN,2020-06-09,"5,000",5000,Consulting de Seguridad e Investigacion Mira Dp Madrid S.L.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-275,ROMANIA,2020-05-05,"5,000",5000,Banca Comercială Română SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-266,SPAIN,2020-03-25,"5,000",5000,Xfera Moviles S.A.,Art. 58 GDPR,Insufficient cooperation with supervisory authority,link,2020
ETid-243,SPAIN,2020-03-16,"5,000",5000,"Centro De Estudio Dirigidos Delta, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2020
ETid-242,GREECE,2020-02-21,"5,000",5000,Public Power Corporation S.A.,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2020
ETid-199,SPAIN,2020-02-03,"5,000",5000,Queseria Artesenal Ameco S.L.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-185,ROMANIA,2019-12-13,"5,000",5000,Entirely Shipping & Trading S.R.L.,"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,link,2019
ETid-184,ROMANIA,2019-12-13,"5,000",5000,Entirely Shipping & Trading S.R.L.,"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR",Non-compliance with general data processing principles,link,2019
ETid-161,SPAIN,2019-12-10,"5,000",5000,"Shop Macoyn, S.L.",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-146,SPAIN,2019-12-03,"5,000",5000,Linea Directa Aseguradora,Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-124,BELGIUM,2019-11-28,"5,000",5000,Municipal alderman,Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-123,BELGIUM,2019-11-28,"5,000",5000,Mayor,Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-46,SPAIN,Unknown,"5,000",5000,"Vodafone España, S.A.U.",Art. 5 (1) d) GDPR,Non-compliance with general data processing principles,link,Unkn
ETid-41,MALTA,2019-02-18,"5,000",5000,Lands Authority,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2019
ETid-26,GERMANY,2018-12-17,"5,000",5000,Kolibri Image Regina und Dirk Maass GbR,Art. 28 (3) GDPR,Insufficient data processing agreement,link link,2018
ETid-10,CYPRUS,2019,"5,000",5000,State Hospital,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2019
ETid-1651,GERMANY,2022,500,500,Restaurant,Unknown,Unknown,link,2022
ETid-1627,SPAIN,2023-02-03,500,500,MIRACLE IBIZA S.L.,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1545,ROMANIA,2023-01-03,500,500,Homeowners Association,Art. 5 (1) e) GDPR,Non-compliance with general data processing principles,link,2023
ETid-1504,SPAIN,2022-11-29,500,500,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1447,SPAIN,2022-10-17,500,500,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1358,SLOVAKIA,2021,500,500,Unknown,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link,2021
ETid-1308,SPAIN,2022-07-22,500,500,CINCON S.C.,Art. 13 (2) GDPR,Insufficient fulfilment of information obligations,link,2022
ETid-1252,SPAIN,2022-07-01,500,500,Private Individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1206,GERMANY,2021,500,500,Police officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2021
ETid-1164,SPAIN,2022-05-12,500,500,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1125,SPAIN,2022-04-12,500,500,Homeowners Association,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1120,ROMANIA,2022-04-07,500,500,Property owners' association,"Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,link,2022
ETid-941,GERMANY,2019,500,500,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2019
ETid-780,SPAIN,2021-07-27,500,500,Website operator,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-684,ROMANIA,2021-05-19,500,500,Owners Association of Iasi Municipality,"Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,link,2021
ETid-582,ROMANIA,2021-03-04,500,500,Natural person holding the position of General Secretary for a political party in Bucharest,"Art. 32 (1), (2) GDPR, Art. 58 (1) a), e) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-395,ROMANIA,2020-09-01,500,500,Apartment building owners association,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,link,2020
ETid-302,ESTONIA,2020-04-30,500,500,Housing Association,Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-160,ROMANIA,2019-11-29,500,500,Homeowners Association,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-31,GERMANY,2018,500,500,Unknown,Unknown,Unknown,link,2018
ETid-9,BULGARIA,2019-02-22,500,500,Employer,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2019
ETid-8,BULGARIA,2019-01-17,500,500,Bank,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Insufficient legal basis for data processing,link,2019
ETid-6,BULGARIA,2018-12-04,500,500,Bank,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link link,2018
ETid-938,GERMANY,Unknown,50,50,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,link,Unkn
ETid-851,NORWAY,2021-09-27,"496,000",496000,Ferde AS,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 28 (3) GDPR, Art. 32 (2) GDPR, Art. 44 GDPR",Non-compliance with general data processing principles,link,2021
ETid-738,NORWAY,2021-06-04,"49,200",49200,Moss municipality,"Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-1671,ITALY,2022-12-15,"4,900,000",4900000,Edison Energia S.p.A.,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 12 (1), (2), (3) GDPR, Art. 21 (2) GDPR, Art. 24 (1), (2) GDPR, Art. 25 (1) GDPR",Non-compliance with general data processing principles,link link,2022
ETid-729,POLAND,2021-03-19,"4,900",4900,Funeda Sp. z o.o.,"Art. 31 GDPR, Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,link,2021
ETid-608,NORWAY,2021-03-15,"4,900",4900,Ålesund Municipality,"Art. 32 (1) b) GDPR, Art. 24 (1) GDPR, Art. 35 GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-1568,POLAND,2022-03-23,490,490,Unknown,"Art. 31 GDPR, Art. 58 (1) e) GDPR",Insufficient cooperation with supervisory authority,link link,2022
ETid-1490,SPAIN,2022-11-11,"48,000",48000,Banco Bilbao Vizcaya Argentaria S.L.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1394,SPAIN,2022-08-28,"48,000",48000,"NATURGY ENERGY GROUP, S.A.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2022
ETid-216,SPAIN,2020-02-25,"48,000",48000,HM Hospitales,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
